TIME_PERIOD,REF_AREA,Population
1980,AUS,14695356
1980,AUT,7549433
1980,BEL,9859243
1980,CAN,24515667
1980,CHE,6319409
1980,CHL,11174173
1980,COL,27684385
1980,CRI,2304094
1980,CZE,10326792
1980,DEU,78288576
1980,DNK,5123027
1980,ESP,37526911
1980,EST,1477219
1980,EU27,406723576
1980,FIN,4779537
1980,FRA,53880012
1980,G20,3150705202
1980,GBR,56329673
1980,GRC,9642505
1980,HUN,10711126
1980,IRL,3401000
1980,ISL,228133
1980,ISR,3877700
1980,ITA,56433876
1980,JPN,117060396
1980,KOR,38123775
1980,LTU,3413202
1980,LUX,364152
1980,LVA,2511701
1980,MEX,67561216
1980,NLD,14149799
1980,NOR,4085620
1980,NZL,3170245
1980,OECD,1018755213
1980,POL,35578019
1980,PRT,9766275
1980,SVK,4984331
1980,SVN,1884477
1980,SWE,8310477
1980,TUR,44439000
1980,USA,227224681
1981,AUS,14923260
1981,AUT,7568710
1981,BEL,9858982
1981,CAN,24819915
1981,CHE,6354073
1981,CHL,11359773
1981,COL,28212667
1981,CRI,2370060
1981,CZE,10303208
1981,DEU,78407904
1981,DNK,5121572
1981,ESP,37764458
1981,EST,1487666
1981,EU27,408404241
1981,FIN,4799962
1981,FRA,54181806
1981,G20,3199340185
1981,GBR,56357464
1981,GRC,9729350
1981,HUN,10711853
1981,IRL,3443400
1981,ISL,230757
1981,ISR,3949800
1981,ITA,56501674
1981,JPN,117902000
1981,KOR,38723248
1981,LTU,3432947
1981,LUX,365219
1981,LVA,2519421
1981,MEX,69267849
1981,NLD,14247217
1981,NOR,4099703
1981,NZL,3185460
1981,OECD,1028194025
1981,POL,35901961
1981,PRT,9851325
1981,SVK,5017032
1981,SVN,1896133
1981,SWE,8320482
1981,TUR,45540000
1981,USA,229465714
1982,AUS,15184247
1982,AUT,7574140
1982,BEL,9856303
1982,CAN,25116942
1982,CHE,6391309
1982,CHL,11545372
1982,COL,28748586
1982,CRI,2437231
1982,CZE,10314321
1982,DEU,78333354
1982,DNK,5117810
1982,ESP,37987108
1982,EST,1498414
1982,EU27,409600780.5
1982,FIN,4826931
1982,FRA,54492495
1982,G20,3249226999.5
1982,GBR,56290711
1982,GRC,9789513
1982,HUN,10705537
1982,IRL,3480000
1982,ISL,233855
1982,ISR,4020700
1982,ITA,56543539
1982,JPN,118728000
1982,KOR,39326352
1982,LTU,3457179
1982,LUX,365525
1982,LVA,2531080
1982,MEX,70973052
1982,NLD,14312689
1982,NOR,4114786
1982,NZL,3210645
1982,OECD,1037289700.5
1982,POL,36227381
1982,PRT,9911770.5
1982,SVK,5054770
1982,SVN,1910335
1982,SWE,8325260
1982,TUR,46688000
1982,USA,231664458
1983,AUS,15393472
